Header: 
Footer: 
Point prm/cv           freq     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.     real(sd.m.     imag(sd.m.
  106 106/ 0  2.675000E+010  1.071732E-002 -2.279062E-002  9.523773E-001 -2.253616E-001  9.528239E-001 -2.249074E-001  1.265809E-002 -2.325714E-002
  107 107/ 0  2.700000E+010  1.130959E-002 -2.335653E-002  9.519422E-001 -2.271608E-001  9.522856E-001 -2.269948E-001  1.211209E-002 -2.428920E-002
  108 108/ 0  2.725000E+010  1.077076E-002 -2.402492E-002  9.513279E-001 -2.290593E-001  9.518525E-001 -2.291221E-001  1.205143E-002 -2.409498E-002
  109 109/ 0  2.750000E+010  1.077512E-002 -2.347577E-002  9.508205E-001 -2.310649E-001  9.510513E-001 -2.309592E-001  1.176871E-002 -2.394555E-002
  110 110/ 0  2.775000E+010  1.089997E-002 -2.403438E-002  9.502670E-001 -2.330143E-001  9.507664E-001 -2.326932E-001  1.242414E-002 -2.452697E-002
  111 111/ 0  2.800000E+010  1.069084E-002 -2.395710E-002  9.495288E-001 -2.349874E-001  9.501791E-001 -2.346628E-001  1.213482E-002 -2.475452E-002
  112 112/ 0  2.825000E+010  1.044157E-002 -2.441936E-002  9.492149E-001 -2.368210E-001  9.496549E-001 -2.367137E-001  1.203279E-002 -2.508522E-002
  113 113/ 0  2.850000E+010  1.045387E-002 -2.393477E-002  9.483613E-001 -2.387450E-001  9.489228E-001 -2.385562E-001  1.262148E-002 -2.464526E-002
  114 114/ 0  2.875000E+010  1.040024E-002 -2.418531E-002  9.484903E-001 -2.403349E-001  9.488380E-001 -2.401724E-001  1.274555E-002 -2.567328E-002
  115 115/ 0  2.900000E+010  9.493717E-003 -2.482049E-002  9.473178E-001 -2.428106E-001  9.477821E-001 -2.426392E-001  1.207609E-002 -2.482274E-002
  116 116/ 0  2.925000E+010  9.961557E-003 -2.415098E-002  9.466616E-001 -2.442773E-001  9.471865E-001 -2.440492E-001  1.319469E-002 -2.540894E-002
  117 117/ 0  2.950000E+010  1.010637E-002 -2.476397E-002  9.463093E-001 -2.465259E-001  9.466315E-001 -2.462372E-001  1.213263E-002 -2.540843E-002
  118 118/ 0  2.975000E+010  9.271818E-003 -2.487856E-002  9.455316E-001 -2.484642E-001  9.460592E-001 -2.483892E-001  1.218044E-002 -2.579876E-002
  119 119/ 0  3.000000E+010  9.616744E-003 -2.537533E-002  9.448495E-001 -2.506601E-001  9.454527E-001 -2.502357E-001  1.197100E-002 -2.524432E-002
  120 120/ 0  3.025000E+010  9.948663E-003 -2.535205E-002  9.444481E-001 -2.526272E-001  9.450545E-001 -2.523026E-001  1.203862E-002 -2.640712E-002
  121 121/ 0  3.050000E+010  9.652659E-003 -2.583475E-002  9.437980E-001 -2.544125E-001  9.442225E-001 -2.541446E-001  1.134536E-002 -2.613018E-002
  122 122/ 0  3.075000E+010  9.822541E-003 -2.614953E-002  9.430663E-001 -2.566158E-001  9.435657E-001 -2.562326E-001  1.131411E-002 -2.643198E-002
  123 123/ 0  3.100000E+010  9.503677E-003 -2.607283E-002  9.425920E-001 -2.583758E-001  9.428056E-001 -2.580840E-001  1.192936E-002 -2.662217E-002
  124 124/ 0  3.125000E+010  9.277280E-003 -2.673580E-002  9.418811E-001 -2.602187E-001  9.423875E-001 -2.599160E-001  1.134618E-002 -2.732725E-002
  125 125/ 0  3.150000E+010  8.774304E-003 -2.619883E-002  9.409213E-001 -2.621882E-001  9.417732E-001 -2.620376E-001  1.163549E-002 -2.641847E-002
  126 126/ 0  3.175000E+010  8.297852E-003 -2.574381E-002  9.405655E-001 -2.635733E-001  9.410899E-001 -2.635024E-001  1.198668E-002 -2.748521E-002
  127 127/ 0  3.200000E+010  8.789980E-003 -2.611503E-002  9.401133E-001 -2.658401E-001  9.409078E-001 -2.653823E-001  1.177510E-002 -2.735614E-002
  128 128/ 0  3.225000E+010  8.378369E-003 -2.616096E-002  9.391650E-001 -2.679556E-001  9.399943E-001 -2.677166E-001  1.120715E-002 -2.738234E-002
  129 129/ 0  3.250000E+010  9.120928E-003 -2.546077E-002  9.386652E-001 -2.694528E-001  9.392234E-001 -2.691516E-001  1.190561E-002 -2.722544E-002
  130 130/ 0  3.275000E+010  8.625717E-003 -2.698047E-002  9.381274E-001 -2.715209E-001  9.385045E-001 -2.713592E-001  1.136669E-002 -2.733029E-002
  131 131/ 0  3.300000E+010  8.613795E-003 -2.631210E-002  9.375709E-001 -2.733052E-001  9.380592E-001 -2.732680E-001  1.181251E-002 -2.748357E-002
  132 132/ 0  3.325000E+010  8.599890E-003 -2.691129E-002  9.367172E-001 -2.755137E-001  9.372922E-001 -2.755286E-001  1.105533E-002 -2.755973E-002
  133 133/ 0  3.350000E+010  8.934925E-003 -2.636793E-002  9.360830E-001 -2.773111E-001  9.366012E-001 -2.769081E-001  1.136156E-002 -2.770266E-002
  134 134/ 0  3.375000E+010  9.514995E-003 -2.750779E-002  9.354176E-001 -2.792569E-001  9.359888E-001 -2.792473E-001  1.084105E-002 -2.818145E-002
  135 135/ 0  3.400000E+010  8.186692E-003 -2.675549E-002  9.347079E-001 -2.812421E-001  9.351804E-001 -2.811296E-001  1.069009E-002 -2.775966E-002
  136 136/ 0  3.425000E+010  9.848384E-003 -2.628997E-002  9.339062E-001 -2.828176E-001  9.344370E-001 -2.823511E-001  1.155765E-002 -2.770978E-002
